Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"712,720,222.11",8.47,"712,720,222.11","7,010,133.00",101.67,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"707,559,525.52",8.41,"707,559,525.52","803,032.00",881.11,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"655,640,551.59",7.79,"655,640,551.59","1,501,593.00",436.63,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"567,706,991.40",6.75,"567,706,991.40","16,412,460.00",34.59,United States,NASDAQ,USD,1,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"504,187,420.88",5.99,"504,187,420.88","3,431,714.00",146.92,United States,NASDAQ,USD,1,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"360,648,133.65",4.29,"360,648,133.65","5,298,195.00",68.07,United States,NASDAQ,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"353,925,219.16",4.21,"353,925,219.16","3,235,444.00",109.39,United States,NASDAQ,USD,1,USD,-
KLAC,KLA CORP,Information Technology,Equity,"347,216,941.26",4.13,"347,216,941.26","738,351.00",470.26,United States,NASDAQ,USD,1,USD,-
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"344,249,014.15",4.09,"344,249,014.15","4,527,805.00",76.03,United States,NASDAQ,USD,1,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"336,207,331.05",4,"336,207,331.05","2,038,485.00",164.93,United States,NASDAQ,USD,1,USD,-
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"334,601,374.76",3.98,"334,601,374.76","3,651,259.00",91.64,Taiwan,New York Stock Exchange Inc.,USD,1,USD,-
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,"330,729,715.82",3.93,"330,729,715.82","1,801,262.00",183.61,United States,NASDAQ,USD,1,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"327,232,056.20",3.89,"327,232,056.20","2,425,738.00",134.9,United States,NASDAQ,USD,1,USD,-
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,"320,237,406.26",3.81,"320,237,406.26","3,763,514.00",85.09,United States,NASDAQ,USD,1,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"318,652,563.06",3.79,"318,652,563.06","527,553.00",604.02,United States,NASDAQ,USD,1,USD,-
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"314,829,199.79",3.74,"314,829,199.79","6,361,471.00",49.49,United States,NASDAQ,USD,1,USD,-
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,"310,727,724.75",3.69,"310,727,724.75","517,233.00",600.75,Netherlands,NASDAQ,USD,1,USD,-
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"196,599,194.00",2.34,"196,599,194.00","470,333.00",418,United States,NASDAQ,USD,1,USD,-
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Equity,"151,149,489.92",1.8,"151,149,489.92","1,651,546.00",91.52,United States,NASDAQ,USD,1,USD,-
TER,TERADYNE INC,Information Technology,Equity,"146,126,744.56",1.74,"146,126,744.56","1,595,096.00",91.61,United States,NASDAQ,USD,1,USD,-
ENTG,ENTEGRIS INC,Information Technology,Equity,"141,383,620.51",1.68,"141,383,620.51","1,550,429.00",91.19,United States,NASDAQ,USD,1,USD,-
STM,STMICROELECTRONICS ADR NV,Information Technology,Equity,"111,558,825.10",1.33,"111,558,825.10","2,803,690.00",39.79,France,New York Stock Exchange Inc.,USD,1,USD,-
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,"103,046,391.18",1.22,"103,046,391.18","1,415,278.00",72.81,United States,NASDAQ,USD,1,USD,-
QRVO,QORVO INC,Information Technology,Equity,"89,790,321.48",1.07,"89,790,321.48","1,010,697.00",88.84,United States,NASDAQ,USD,1,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,"62,598,603.21",0.74,"62,598,603.21","1,125,267.00",55.63,United States,NASDAQ,USD,1,USD,-
UMC,UNITED MICRO ELECTRONICS ADR REP,Information Technology,Equity,"57,285,410.88",0.68,"57,285,410.88","7,699,652.00",7.44,Taiwan,New York Stock Exchange Inc.,USD,1,USD,-
ASX,ASE TECHNOLOGY HOLDING ADR REPRESE,Information Technology,Equity,"52,013,839.68",0.62,"52,013,839.68","6,737,544.00",7.72,Taiwan,New York Stock Exchange Inc.,USD,1,USD,-
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Equity,"50,219,011.64",0.6,"50,219,011.64","335,554.00",149.66,United States,NASDAQ,USD,1,USD,-
MKSI,MKS INSTRUMENTS INC,Information Technology,Equity,"47,547,759.27",0.57,"47,547,759.27","653,937.00",72.71,United States,NASDAQ,USD,1,USD,-
WOLF,WOLFSPEED INC,Information Technology,Equity,"41,211,968.00",0.49,"41,211,968.00","1,287,874.00",32,United States,New York Stock Exchange Inc.,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"14,652,537.25",0.17,"14,652,537.25","14,652,537.00",1,United States,-,USD,1,USD,-
WFFUT,CASH COLLATERAL USD WFFUT,Cash and/or Derivatives,Cash Collateral and Margins,"860,000.00",0.01,"860,000.00","860,000.00",100,United States,-,USD,1,USD,"Aug 23, 2017"
RTYZ3,RUSSELL 2000 EMINI CME DEC 23,Cash and/or Derivatives,Futures,0,0,"2,533,350.00",30,"1,688.90",-,Chicago Mercantile Exchange,USD,1,USD,-
IXTZ3,EMINI TECHNOLOGY SELECT SECTOR DEC,Cash and/or Derivatives,Futures,0,0,"11,739,700.00",70,"1,677.10",-,Chicago Mercantile Exchange,USD,1,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"-985,909.50",-0.01,"-985,909.50","-985,910.00",100,United States,-,USD,1,USD,-
