Date,Open,High,Low,Close,Volume
2007-01-03,20.08,20.4,19.35,19.52,28107900
2007-01-04,19.66,19.86,19.32,19.79,23380300
2007-01-05,19.54,19.91,19.54,19.71,15772600
2007-01-08,19.71,19.86,19.25,19.47,15814600
2007-01-09,19.45,19.71,19.37,19.65,14098100
2007-01-10,19.64,20.02,19.5,20.01,19779800
2007-01-11,19.8,20.63,19.8,20.18,22469800
2007-01-12,18.63,18.77,17.62,18.26,122841504
2007-01-16,18.15,18.35,17.95,18.13,36731100
2007-01-17,17.9,18.28,17.9,18.2,21396200
2007-01-18,18.07,18.18,17.76,17.92,21703700
2007-01-19,17.81,17.98,17.66,17.73,22764300
2007-01-22,17.59,17.64,17.26,17.53,24366500
2007-01-23,17.6,17.7,17.37,17.51,24089900
2007-01-24,16.24,16.45,15.93,16.03,74621000
2007-01-25,16.14,16.41,16.0,16.05,30662100
2007-01-26,16.07,16.27,16.01,16.22,28338400
2007-01-29,16.21,16.23,15.85,15.95,30038000
2007-01-30,16.0,16.0,15.65,15.79,20399100
2007-01-31,15.83,15.89,15.52,15.55,30171700
2007-02-01,15.65,15.85,15.57,15.77,23446400
2007-02-02,15.9,15.91,15.66,15.69,20216200
2007-02-05,15.74,15.8,15.52,15.6,18451500
2007-02-06,15.62,15.67,15.13,15.32,31870600
2007-02-07,15.39,15.55,15.36,15.5,17258300
2007-02-08,15.4,15.46,15.11,15.13,24669400
2007-02-09,15.22,15.26,14.8,14.9,30648700
2007-02-12,14.96,15.01,14.66,14.69,20403660
2007-02-13,14.75,14.86,14.47,14.6,17823394
2007-02-14,14.65,15.13,14.61,14.95,31905856
2007-02-15,15.01,15.02,14.75,14.83,15885700
2007-02-16,14.8,15.0,14.7,14.94,15949600
2007-02-20,14.93,15.01,14.7,14.92,21955500
2007-02-21,14.83,14.85,14.52,14.56,23985200
2007-02-22,14.66,14.7,14.43,14.54,26770750
2007-02-23,14.59,14.76,14.59,14.69,22884800
2007-02-26,14.83,15.73,14.8,15.68,65831416
2007-02-27,15.35,15.44,14.86,15.08,43335900
2007-02-28,15.3,15.3,14.96,15.07,32806000
2007-03-01,14.76,14.98,14.76,14.79,25730808
2007-03-02,14.69,14.74,14.13,14.18,49775200
2007-03-05,13.6,14.0,13.53,13.95,32149664
2007-03-06,14.18,14.35,14.02,14.09,17971100
2007-03-07,14.02,14.22,13.9,14.1,21556700
2007-03-08,14.2,14.27,13.96,14.19,21137184
2007-03-09,14.26,14.33,14.13,14.2,19109314
2007-03-12,14.09,14.27,14.04,14.17,14612200
2007-03-13,14.04,14.12,13.76,13.94,23147072
2007-03-14,13.82,14.17,13.7,14.13,25333460
2007-03-15,14.09,14.23,13.92,13.93,14535850
2007-03-16,14.0,14.16,13.84,14.01,20088430
2007-03-19,14.01,14.01,13.66,13.72,16415839
2007-03-20,13.7,13.74,13.36,13.41,25380550
2007-03-21,13.45,14.05,13.37,13.6,49060252
2007-03-22,13.65,13.76,13.31,13.35,28467468
2007-03-23,13.35,13.62,13.35,13.5,14157751
2007-03-26,13.5,13.73,13.41,13.55,14063100
2007-03-27,13.56,13.66,13.47,13.5,13301600
2007-03-28,13.45,13.5,13.38,13.38,17908500
2007-03-29,13.45,13.46,12.96,13.08,28352744
